" The customer doesn't exist in the system anymore"," Clientul nu mai exista in sistem"
"(For US 2-letter state names)","(Abrevieri de 2 cifre pentru statele din SUA)"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Calea relativa sau absoluta catre folderul de instalare Magento, ex. var/export)"
"(Leave empty for first spreadsheet)","(Lasa gol pentru primul spreadsheet)"
"(If left empty will be auto-generated)","(Lasat gol se va autogenera)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produsele vor fi adaugate/actualizate in acest magazin daca coloana 'store' ramane goala sau lipseste in fisierul de import.)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Selectand 'Nu', doar campurile mapate se vor importa. La mapare, foloseste 'column1', 'column2', etc.)"
"(Starting with)","(Starting with)"
"(t for tab)","(t for tab)"
"-- Please Select --","-- Alege --"
"-- Please select a category --","-- Alege o categorie --"
"--Please Select--","--Alege--"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Accesul interzis</h1><p>Accesul este interzis la aceasta pagina.</p>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Eroare 404</h1><p>Pagina nu exista.</p>"
"Processed <strong>%s%% %s/%d</strong> records","<strong>%s%% %s/%d</strong> inregistrari procesate"
"Imported <strong>%s</strong> records","<strong>%s</strong> inregistrari importate"
"Invoice #%s created","A fost creata factura #%s"
"Price alert subscription was saved successfully","Abonarea la alerte de pret a fost salvata."
"Resource Access","Acces resurse"
"Access Denied.","Accesul interzis."
"This tab contains invalid data. Please solve the problem before saving.","Aceasta caseta contine date incorecte. Rezolvati problema inainte de a salva."
"This attribute shares the same value in all the stores","Acest atribut are aceeasi valoare in toate magazinele"
"This account is","Acest cont este"
"This attribute set don't have attributes which we can use for configurable product","Acest set de atribute nu are atribute care pot fi folosite la un produs configurabil"
"This is a required field.","Acesta este un camp obligatoriu."
"Current Configuration Scope:","Acoperire configuratie curenta:"
"store(%s) scope","Acoperire magazin(%s)"
"Default scope","Acoperire standard"
"Action Code","Action Code"
"Action","Actiune"
"Actions","Actiuni"
"Profile Action","Actiuni profil"
"Actions XML","Actiuni XML"
"Profile Actions XML","Actiuni XML profil"
"Active","Activ"
"Enabled","Activat"
"Enable","Activeaza"
"Updated At","Actualizat la"
"Date Updated","Actualizat la data"
"Update","Actualizeaza"
"Add new Role","Adauga drepturi"
"Add New Role","Adauga drepturi"
"Add New Image","Adauga imagine"
"Add Field Mapping","Adauga mapare camp"
"Add New Profile","Adauga profil"
"Please, add a few answers to this poll first","Adauga raspunsuri la chestionar."
"Add New Template","Adauga template"
"Add Url Rewrite","Adauga Url Rewrite"
"Add New Urlrewrite","Adauga Urlrewrite"
"Add New User","Adauga utilizator"
"Date Added","Adaugat la data"
"Admin","Admin"
"Email address is empty.","Adresa de email este goala."
"Billing address","Adresa de facturare"
"Shipping address","Adresa de livrare"
"Shipping Address","Adresa de livrare"
"Billing Address","Adresa facturare"
"Email Address:","Adresa mail:"
"Primary Billing Address","Adresa principala de facturare"
"You successfully logged out.","Ai iesit cu succes din contul tau."
"Forgot your user name or password?","Ai uitat numele sau parola?"
"Forgot your password?","Ai uitat parola?"
"Help Us Keep Magento Healthy - Report All Bugs","Ajutati-ne daca descoperiti erori - Raporteaza toate erorile"
"Please select catalog searches","Alege cautarile din catalog"
"Please select customer(s)","Alege client(i)"
"Select Date","Alege data"
"Please select tag(s)","Alege etichete"
"Please select State/Province.","Alege judetul."
"Please select a category","Alege o categorie"
"Please select an option.","Alege o optiune."
"Please select review(s)","Alege parere(i)"
"Select Range","Alege raza"
"Select All","Alege toate"
"Choose an attribute","Alege un atribut"
"Please select a custmer","Alege un client"
"Please select a store","Alege un magazin"
"Please select a product","Alege un produs"
"Please select a type","Alege un tip"
"Please select one of the above options.","Alege una din optiunile de mai sus."
"Please select one of the options.","Alege una din optiunile."
"Choose Store View","Alege vitrina"
"Please, select visible in stores to this poll first","Alege vizibil in magazin pentru acest chestionar."
"Select Visible","Alege vizibile"
"Stock notification was saved successfully","Alerta de stoc a fost salvata."
"Assigned","Alocat"
"Both (without and with tax)","Ambele (cu si fara TVA)"
"API:","API:"
"Show by","Arata dupa"
"Show reviews","Arata pareri"
"Show Report for","Arata raportul pentru"
"Display default currency","Arata valuta standard"
"Individual Item","Articol individual"
"Items","Articole"
"Items Ordered","Articole comandate"
"items selected","articole selectate"
"Please wait, loading...","Asteapta, se incarca..."
"Please wait...","Asteapta..."
"Warning: Please don't close window during importing/exporting data","Atentie: Nu inchideti fereastra in timpul importului sau exportului de date"
"Global Attribute","Atribut global"
"b","b"
"Backup","Backup"
"Backup successfully created","Backup creat cu succes."
"Backup record was deleted","Backup-ul a fost sters."
"Backups","Backup-uri"
"Browse Available Extensions","Browse extensii disponibile"
"Browse Available Remote Extensions","Browse extensii disponibile remote"
"Browse Files...","Browse fisiere..."
"Path","Calea"
"Path:","Calea:"
"Channel","Canal"
"Channel:","Canal:"
"Qty","Cant."
"Quantity","Cantitate"
"Stock Quantity:","Cantitate in stoc:"
"Amounts","Cantitati"
"Catalog","Catalog"
"Category","Categorie"
"Product Categories","Categorii produs"
"Search","Cauta"
"Search Term","Cautare"
"Global Record Search","Cautare globala"
"Search Terms","Cautari"
"What is this?","Ce e asta?"
"Bestsellers","Cele mai vandute"
"Most Viewed Products","Cele mai vizualizate"
"Request Path","Cere calea"
"Changelog","Changelog"
"Poll Manager","Chestionare"
"Poll was successfully saved","Chestionarul a fost salvat."
"Poll was successfully deleted","Chestionarul a fost sters."
"Customer","Client"
"Customer Since:","Client din:"
"Manage Customers","Clienti"
"Customers","Clienti"
"New Customers","Clienti noi"
"Customer was successfully saved","Clientul a fost salvat"
"Customer was deleted","Clientul a fost sters"
"SKU","COD"
"Coupon Code","Cod cupon"
"Zip/Postal Code","Cod postal"
"Zip/Postal Code:","Cod postal:"
"SKU:","COD:"
"Order #%s","Comanda #%s"
"Order #%s (%s)","Comanda #%s (%s)"
"Aggregate Order","Comanda compusa"
"Shipment Comments","Comentarii livrare"
"Invoice #%s comment added","Comentariu adaugat la factura #%s"
"Shipment #%s comment added","Comentariu adaugat la livrarea #%s"
"Credit Memo #%s comment added","Comentariu pentru rambursare #%s a fost adaugat"
"Orders","Comenzi"
"Recent Orders","Comenzi recente"
"Please fill in 'email' field.","Completeaza campul 'email'."
"Connect with the Magento Community","Conecteaza-te la Comunitatea Magento"
"PEAR config","Config PEAR"
"Configuration successfully saved","Configuratia a fost salvata."
"Configuration","Configuratie"
"PEAR Configuration was successfully saved","Configuratie PEAR salvata cu succes."
"Default Config","Configuratie standard"
"Please confirm site switching. All data that hasn't been saved will be lost.","Confirma schimbarea site-ului. Toate datele nesalvate se vor pierde."
"Password Confirmation","Confirmare parola"
"Conflicts","Conflicte"
"PEAR Console","Consola PEAR"
"Account Created in:","Cont creat in:"
"Account Created on:","Cont creat la:"
"Contents","Continut"
"Template Content","Continut Template"
"Account successfully saved","Contul a fost salvat."
"My Account","Contul meu"
"Your Account has been deactivated.","Contul tau a fost dezactivat."
