"# of Use","# in uz"
"%s Item(s)","%s Articol(e)"
"(Copy data from: %s)","(Copie datele de la: %s)"
"(Will make search for the query above return results for this search.)","(Face ca o cautare pentru interogarea de deasupra sa dea aceleasi rezultate ca si aceasta cautare.)"
"-- Please Select --","-- Alege --"
"This tab contains invalid data. Please solve the problem before saving.","Aceasta fereastra contine date invalide. Rezolvati problema inainte de a salva."
"This group contains system attributes. Please move system attributes to another group and try again.","Acest grup contine atribute de sistem. Mutati atributele in alt grup si incercati din nou."
"Scope","Acoperire"
"Catalog Price Scope","Acoperire pret catalog"
"Action","Actiune"
"Enabled","Activat"
"Update attributes","Actualizeaza atribute"
"Currently Shopping by","Acum cumperi in functie de"
"Add Items to Cart","Adauga articole in cos"
"Add New Attribute","Adauga atribut"
"Add Attribute","Adauga atribut"
"Add Recipient","Adauga destinatar"
"Add New Group","Adauga grup"
"Add Group","Adauga grup"
"Add New Images","Adauga imagini"
"Add to Cart","Adauga in cos"
"Add to Compare","Adauga la comparatie"
"Add to Wishlist","Adauga la favorite"
"Add to My Wishlist","Adauga la lista mea de favorite"
"Add New","Adauga nou"
"Add Option","Adauga optiune"
"Add Product","Adauga produs"
"Add Product To Websites","Adauga produs in Websites"
"Add Design Change","Adauga schimbare de design"
"Add New Set","Adauga set"
"Add New Attribute Set","Adauga set de atribute"
"Add New Search Term","Adauga termen de cautare"
"Add Tier","Adauga Tier"
"Please add one or more options","Adauga una sau mai multe optiuni"
"Email Address","Adresa de email"
"Email Address:","Adresa de email:"
"Select Configurable Attributes ","Alege atribute configurabile "
"Please select static block ...","Alege bloc static ..."
"Choose an Option...","Alege o optiune..."
"Choose option...","Alege optiunea..."
"Please select product(s)","Alege produs(e)"
"Please select products for attributes update","Alege produse pentru actualizare atribute"
"Selected Product Types","Alege tipul de produs"
"Please select one or more attributes.","Alege unul sau mai multe atribute."
"Product Alerts","Alerte produs"
"Previous","Anteriorul"
"Notify for Quantity Below","Anunta pentru cantitate mai mica de"
"Notify Low Stock RSS","Anunta stoc limitat RSS"
"Please click on Close Window button if it won't be closed automatically","Apasa pe Inchide fereastra daca nu se inchide automat."
"Apply To","Aplica la"
"Apply To Configurable/Grouped Product","Aplica la produse configurabile/grupate"
"Approved","Aprobat"
"Zoom In","Apropie"
"Show","Arata"
"Display in Suggested Terms","Arata in termenii sugerati"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Items %s to %s of %s total","Articole %s pina la %s din %s in total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Articolele care nu vreti sa apara in catalog trebuie sa aiba valoarea 'Dezactivat' in magazinul dorit."
"Unknown attribute: %s","Atribut necunoscut: %s"
"New Product Attribute","Atribut nou de produs"
"Product attribute was successfully saved","Atribut produs salvat"
"Product attribute was successfully deleted","Atribut produs sters"
"Attributes","Atribute"
"Unassigned Attributes","Atribute nealocate"
"This attribute no longer exists","Atributul nu mai exista"
"Product Attribute","Atributul produsului"
"Autogenerate","Autogenereaza"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Based On","Bazat pe"
"Check items to add to the cart or ","Bifeaza pentru a adauga in cos sau "
"Static block and products","Bloc static si produse"
"Text Field","Camp pt text"
"Qty","Cantitate"
"Maximum Qty Allowed in Shopping Cart","Cantitate maxima in cos"
"Minimum Qty Allowed in Shopping Cart","Cantitate minima admisa in cos"
"Minimum Qty for Item's Status to be Out of Stock","Cantitate minima pentru status: stoc epuizat"
"Default Qty","Cantitate standard"
"Qty Uses Decimals","Cantitatea e cu virgula"
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Catalog"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Catalog Searches","Catalog Searches"
"Catalog, Search","Catalog, Cautare"
"Category","Categorie"
"New Category","Categorie noua"
"Parent Category","Categorie parinte"
"Category saved","Categorie salvata"
"Category deleted","Categorie stearsa"
"Categories","Categorii"
"Product Categories","Categorii de produse"
"Search","Cauta"
"Browse By","Cauta dupa"
"Searchable","Cautabil"
"New Search","Cautare noua"
"Search was successfully deleted","Cautarea a fost stearsa"
"This search no longer exists","Cautarea nu mai exista"
"Best Selling Products","Cele mai vandute"
"Default Tax Class","Clasa standard de taxare"
"Clean boot cut women's business pant","Clean boot cut women's business pant"
"Attribute Code","Cod atribut"
"SKU","Cod produs"
"Conditions Combination","Combinatie conditii"
"Compare Items","Compara articolele"
"Compare Products List","Compara lista de produse"
"Compare Products","Compara produsele"
"Compare Products - %d Items","Compara produsele - %d articole"
"Comparable","Comparabil"
"Comparable on Front-end","Comparabil la client"
"Super product attributes configuration","Configurare atribute pt superprodus"
"Continue","Continua"
"Options Control","Control optiuni"
"Copy From Configurable","Copie de la produs configurabil"
"Quick Create","Creare rapida"
"Quick simple product creation","Creare rapida a unui produs simplu"
"Create Simple Associated Product","Creaza produs asociat simplu"
"Create Empty","Creaza produs gol"
"Buy %s for %s","Cumpara %s la %s"
"Buy %s for %s each","Cumpara %s la %s fiecare"
