"Allow Qty Below 0","Accepta cantitate negativa"
"Allow Qty Below 0 and Notify Customer","Accepta cantitate negativa si anunta clientul"
"Update the Product","Actualizeaza produs"
"Notify for Quantity Below","Anunta pentru cantitate mai mica de"
"Maximum Qty Allowed in Shopping Cart","Cantitate maxima permisa in cos"
"Minimum Qty for Items' Status to be In Stock","Cantitate minima pentru a fi in stoc"
"Minimum Qty Allowed in Shopping Cart","Cantitate minima permisa in cos"
"The requested quantity for ""%s"" is not available.","Cantitatea solicitata de ""%s"" nu este disponibila."
"The requested quantity is not available.","Cantitatea solicitata nu este disponibila."
"By Percentage","dupa procent"
"By Fixed value","dupa valoare fixa"
"No Backorders","Fara posibilitate de comanda"
"Inventory","Gestiune stocuri"
"Can not specify product identifier for order item","Nu se poate specifica ID-ul produsului comandat"
"Stock Options","Optiuni stocuri"
"To Percentage","pina la procent"
"To Fixed Value","pina la valoare fixa"
"Backorders","Posibilitate de comanda"
"Rule price","Reguli pret"
"Decrease Stock When Order is Placed","Scade stocul cand se face o comanda"
"Update the Product","Update the Product"
