"Actions","Actiuni"
"Active","Activ"
"Update product's %s %s: %s","Actualizeaza - %s %s: %s"
"Add New Rule","Adauga regula noua"
"Apply Rules","Aplica reguli"
"Product Attribute","Atribut produs"
"Catalog","Catalog"
"Category","Categorie"
"Customer registered: %s","Client inregistrat: %s"
"Customer is new buyer: %s","Clientul este cumparator nou: %s"
"Conditions Combination","Combinatie conditii"
"Conditions","Conditii"
"Conditions (leave blank for all products)","Conditii (ramane gol pentru toate produsele)"
"Order Invoices","Confirmari facturare"
"Yes","Da"
"Yes","Da"
"Date Start","Data de incepere"
"Date Expire","Data expirarii"
"From Date","De la data"
"Date From","De la data"
"Description","Descriere"
"Description: %s","Descriere: %s"
"Expire at: %s","Expira la: %s"
"Invoices","Facturi"
"Customer Groups","Grupuri de clienti"
"ID","ID"
"Unable to apply rules","Imposibil de aplicat regulile"
"Inactive","Inactiv"
"General Information","Informatii generale"
"Rule Information","Informatii regula"
"Comments History","Istoric comentarii"
"Order History","Istoric comenzi"
"Shipments","Livrari"
"Order Shipments","Livrari"
"Order Gift Messages","Mesaje pentru cadouri"
"Gift Messages","Mesaje pentru cadouri"
"Edit Rule","Modifica regula"
"Edit Rule '%s'","Modifica regula '%s'"
"NOT LOGGED IN","ne-logat"
"No","Nu"
"The page you are trying to save no longer exists","Nu mai exista pagina pe care doriti sa o salvati."
"This rule no longer exists","Nu mai exista regula"
"Unable to find a page to delete","Nu s-a gasit pagina pe care vreti sa o stergeti"
"Rule Name","Nume regula"
"Name: %s","Nume: %s"
"Stop further rules processing","Opreste procesarea altor reguli"
"Options","Optiuni"
"To Date","Pina la data"
"Date To","Pina la data"
"Start at: %s","Porneste la: %s"
"Priority","Prioritate"
"Promotions","Promotii"
"Credit Memos","Rambursari"
"New Rule","Regula noua"
"Catalog Price Rule","Regula pret de catalog"
"Rule was successfully saved","Regula salvata."
"Rule was successfully deleted","Regula salvata."
"Catalog Price Rules","Reguli pret de catalog"
"Rules were successfully applied","Regulile au fost aplicate."
"Save Rule","Salveaza regula"
"Save and Apply","Salveaza si aplica"
"Attribute Set","Set de atribute"
"Websites","Site-uri"
"Status","Status"
"Delete Rule","Sterge regula"
"Order Credit Memos","Stornari"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","Unele reguli au fost modificate dar nu au fost aplicate. Ca sa vedeti efectul imediat in catalog, click pe Aplica reguli"
