"<b>%d item(s)</b> were found using the following search criteria"," Exista <b>%d articol(e)</b>"
"%s and greater","%s si mai mari"
"Required Fields","Campuri obligatorii"
"Search","Cauta"
"Modify your search","Cauta altceva"
"Search entire store here...","Cauta in magazin..."
"Search entire store here...","Cauta in magazin..."
"Search Site","Cauta pe site"
"Advanced Search","Cautare avansata"
"Catalog Advanced Search","Cautare avansata in catalog produse"
"Search Terms","Cautari frecvente"
"Popular search terms","Cautari frecvente"
"Popular Search Terms","Cautari frecvente"
"SKU","Cod produs"
"Short Description","Descriere pe scurt"
"Home","Home"
"Description","Informatii produs"
"List","Lista"
"Go to Home Page","Mergi la prima pagina"
"Your search returns no results.","Nu au fost gasite rezultate relevante pentru cuvintele introduse."
"There are no search terms available.","Nu exista cautari frecvente."
"Name","Nume"
"up to %s","pina la %s"
"Price","Pret"
"Results","Rezultate"
"Search results for '%s'","Rezultate cautare pentru '%s'"
"Search results for: '%s'","Rezultate cautare pentru: '%s'"
"Search Settings","Setari cautare"
"Autogenerated site map","Site map autogenerat"
"Grid","Tabel"
"Tax Class","Tax Class"
"All","Toate"
"You have to specify at least one search term","Trebuie sa specifici macar un termen de cautare"
"up to %s","up to %s"
