"%s was successfully added to your shopping cart.","%s a fost adaugat in cos."
"&laquo; Back to Select Addresses","&laquo; inapoi la alegerea adreselor"
"&laquo; Back to Shopping Cart","&laquo; inapoi la cosul de cumparaturi"
"&laquo; Back to Billing Information","&laquo; inapoi la informatii de facturare"
"* Required Fields","* campuri obligatorii"
"There was an error processing your order. Please contact us or try again later.","A aparut o eroare la procesarea comenzii tale. Te rugam sa ne contactezi sau sa incerci mai tarziu."
"Allow Guest Checkout","Accepta comenzi fara inregistrare"
"Easy access to your order history and status","Acces rapid si facil la istoricul si starea comenzilor"
"Update Qty &amp; Addresses","Actualizeaza cantitatea &amp; adresele"
"Update Shopping Cart","Actualizeaza cosul"
"Update Total","Actualizeaza total"
"Add New Address","Adauga adresa noua"
"Add to Cart","Adauga in cos"
"Add to Compare","Adauga la comparatie"
"Add to Wishlist","Adauga la favorite"
"Address","Adresa"
"Address %s of %s","Adresa %s din %s"
"Billing Address","Adresa de facturare"
"Shipping Address","Adresa de livrare"
"Email Address","Adresa e-mail"
"New Address","Adresa noua"
"Get a Quote","Afla o estimare a costului"
"Forgot your password?","Ai uitat parola?"
"Forgot an Item?","Ai uitat sa cumperi ceva?"
"Please select region, state or province","Alege judetul"
"Please select shipping methods for all addresses","Alege metodele de livrare pentru toate adresele"
"Select a billing address from your address book or enter a new address.","Alege o adresa de facturare din agenda sau introdu una noua."
"Select a shipping address from your address book or enter a new address.","Alege o adresa de livrare din agenda sau introdu una noua."
"Cancel Coupon","Anuleaza cuponul"
"Display item quantities","Arata cantitatile produselor"
"Display Cart Summary","Arata detalii cos"
"Display number of items in cart","Arata numarul de produse din cos"
"Items","Articole"
"Qty","Cantitate"
"Maximum qty allowed for Shipping to multiple addresses is %s","Cantitatea maxima permisa pentru livrarea la adrese multiple este %s"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" target=""_blank"">aici</a> pentru a lista o copie a comenzii tale."
"Zip/Postal Code","Cod postal"
"Discount Codes","Coduri pentru discount"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Comanda este procesata si vei primi un email cu detaliile acesteia. De indata ce vom livra, iti vom trimite un e-mail cu informatiile de urmarire a comenzii."
"Order Success","Comanda finalizata"
"Your order has been received","Comanda ta a fost receptionata."
"Confirm Password","Confirma parola"
"Continue","Continua"
"Continue Shopping","Continua cumparaturile"
"Continue to Review Your Order","Continua spre Informatii Comanda"
"Continue to Billing Information","Continua spre Informatii Facturare"
"Continue to Shipping Information","Continua spre Informatii Livrare"
"My Account","Contul meu"
"Shopping Cart","Cos de cumparaturi"
"Estimate Shipping and Tax","Cost transport cu TVA"
