"Layout Update XML"," Actualizare Layout XML"
"(eg: domain.com/identifier)","(eg: domain.com/identificator)"
"Action","Actiune"
"Enabled","Activat"
"Add New Block","Adauga bloc"
"Add New Page","Adauga pagina"
"Show breadcrumbs for CMS pages","Arata breadcrumbs pt pagini CMS"
"New Block","Bloc nou"
"Block was successfully saved","Blocul a fost salvat"
"Block was successfully deleted","Blocul a fost sters"
"This block no longer exists","Blocul nu mai exista"
"Static Blocks","Blocuri statice"
"CMS","CMS"
"CMS Blocks","CMS Blocks"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS Pages","CMS Pages"
"Content","Continut"
"Keywords","Cuvinte cheie"
"Date Created","Data crearii"
"Description","Descriere"
"Custom Design","Design personalizat"
"Disabled","Dezactivat"
"Manage Pages","Gestioneaza pagini"
"Home","Home"
"Identifier","Identificator"
"SEF URL Identifier","Identificator SEF URL"
"Such a block identifier in selected store already exist.","Identificatorul de bloc pentru magazinul selectat exista deja."
"Page Identifier cannot consist only of numbers.","Identificatorul de pagina nu poate avea doar numere."
"Page Identifier for specified store already exist.","Identificatorul de pagina pentru magazinul selectat deja exista."
"Block Information","Informatii bloc"
"Customer Tax Class Information","Informatii clasa de taxare client"
"Product Tax Class Information","Informatii clasa taxare produs"
"General Information","Informatii generale"
"Page Information","Informatii pagina"
"Layout","Layout"
"Manage Blocks","Manage Blocks"
"Poll Manager","Manager chestionare"
"Go to Home Page","Mergi la pagina principala"
"Meta Keywords","Meta Cuvinte Cheie"
"Meta Data","Meta Date"
"Meta Description","Meta Descriere"
"Edit Block","Modifica bloc"
"Edit Block '%s'","Modifica bloc '%s'"
"Edit Page","Modifica pagina"
"Edit Page '%s'","Modifica pagina '%s'"
"Unable to find a page to delete","Nu s-a gasit nici o pagina de sters"
"Unable to find a block to delete","Nu s-a gasit nici un bloc de sters"
"Page was successfully saved","Pagina a fost salvata"
"Page was successfully deleted","Pagina a fost stearsa"
"New Page","Pagina noua"
"This page no longer exists","Pagina nu mai exista"
"The page you are trying to save no longer exists","Pagina nu mai exista."
"Preview","Previzualizeaza"
"Save Block","Salveaza bloc"
"Save Page","Salveaza pagina"
"Status","Status"
"Page Status","Status pagina"
"Delete Block","Sterge bloc"
"Delete Page","Sterge pagina"
"Custom Theme","Tema personalizata"
"Custom Theme To","Tema personalizata catre"
"Custom Theme From","Tema personalizata de la"
"Title","Titlu"
"Block Title","Titlu bloc"
"Page Title","Titlu pagina"
"All countries","Toate tarile"
"Last Modified","Ultima modificare"
"Unable to find a page to delete","Unable to find a page to delete"
"Store View","Vitrina"
