"* Required Fields","* campuri obligatorii"
"Enable Contact Us","Activeaza formularul de contact"
"Comment","Comentariu"
"Contact Us","Contact"
"Contacts","Contacte"
"Email","Email"
"Unable to submit your request. Please, try again later","Eroare la transmiterea mesajului. Incearca mai tarziu."
"Email Sender","Expeditor email"
"Contact Form","Formular de contact"
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","Mesajul tau a fost trimis si iti vom raspunde in cel mai scurt timp posibil. Iti multumim!"
"Name","Nume"
"Email Options","Optiuni email"
"Contact Information","Pentru intrebari, nelamuriri, propuneri, reclamatii, etc..."
"Telephone","Telefon"
"Email Template","Template email"
"Send Emails To","Trimite emailuri catre"
"Submit","Trimite mesaj"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
