"* Required Fields","* campuri obligatorii"
"General Subscription","Abonare la newsletter-ul standard"
"Sign Up for Newsletter","Abonare newsletter"
"Newsletter Subscription","Abonare newsletter"
"Subscribed to Newsletter?","Abonat la Newsletter?"
"Subscribe","Aboneaza-te"
"Subscribe to newsletter","Aboneaza-te la newsletter"
"Sign up for our newsletter","Aboneaza-te la newsletter"
"The address does not belong to this customer","Aceasta adresa nu apartine clientului."
"This is My Primary %s Address","Aceasta este adresa mea principala %s"
"Action","Actiune"
"Update","Actualizeaza"
"Add New Address","Adauga adresa"
"Add New Customer","Adauga client"
"Add New Customer Group","Adauga grup de clienti"
"Added From","Adaugat din"
"Date Added","Adaugat la data"
"Admin","Admin"
"Street Address","Adresa"
"Address","Adresa"
"Street Address 2","Adresa 2"
"The address was successfully saved","Adresa a fost salvata."
"The address was successfully deleted","Adresa a fost stearsa."
"Email Address","Adresa de e-mail"
"Invalid email address","Adresa de e-mail gresita"
"IP Address","Adresa IP"
"New Address","Adresa noua"
"New Customer Address","Adresa noua client"
"This email address was not found in our records","Adresa nu a fost gasita in baza noastra de date."
"Primary Billing Address","Adresa principala de facturare"
"Primary Shipping Address","Adresa principala de livrare"
"Default Shipping Address","Adresa standard de livrare"
"Addresses","Adrese"
"Customer Addresses","Adrese client"
"Default Addresses","Adrese standard"
"Default Billing Address","Adrese standard de facturare"
"Retrieve your password here","Afla parola aici"
"Address Book","Agenda"
"You're now Logged Out","Ai iesit din cont."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ai parasit contul si vei fi redirectionat spre pagina principala in 5 secunde."
"Forgot Your Password?","Ai uitat parola?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aici poti vedea si actualiza detaliile contului tau. Alege din link-urile de mai jos."
"Please select","Alege"
"Please select region, state or province","Alege judetul"
"Assign a customer group","Aloca un grup de clienti"
"Cancel","Anuleaza"
"Approved","Aprobat"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Login or Create an Account","Autentifica-te sau Creaza un cont"
"Login","Autentificare"
"Customer Login","Autentificare client"
"Qty","Cant."
"Tax class","Clasa de taxare"
"Tax Class","Clasa de taxare"
"Customer","Client"
"Customer Since","Client din"
"Registered Customers","Client existent"
"New Customers","Client nou"
"New Customer","Client nou"
"Customers","Clienti"
"Online Customers","Clienti online"
"Customer doesn't have primary billing address","Clientul nu are adresa principala de facturare"
"This customer has no saved addresses.","Clientul nu are adrese salvate."
"ZIP/Post Code","Cod postal"
"ZIP/Postal Code","Cod postal"
"Zip/Postal Code","Cod postal"
"SKU","Cod produs"
"Wrong region id by selected country","Codul este gresit pentru tara selectata"
"Order #","Comanda #"
"Order #%s (%s)","Comanda #%s (%s)"
"Orders","Comenzi"
"Recent Orders","Comenzi recente"
"My Orders","Comenzile mele"
"Config","Configuratie"
"Customer Configuration","Configuratie client"
"Confirm New Password","Confirma noua parola"
"Confirm Password","Confirma parola"
"New account","Cont nou"
"Continue Shopping","Continua cumparaturile"
"My Account","Contul meu"
