"* Required Fields","* campuri obligatorii"
"Allow Gift Messages for Order Items","Accepta mesaje pt cadouri pentru articole"
"Allow Gift Messages on Order Level","Accepta mesaje pt cadouri pentru comenzi"
"Add","Adauga"
"Add Gift Message","Adauga un mesaj de cadou"
"Do you have any gift items in your order?","Ai articole pe care vrei sa le faci cadou?"
"Cancel","Anuleaza"
"Item %d of %d","Articolul %d din %d"
"Check this checkbox if you want to add gift messages to your items.","Bifeaza daca vrei sa adaugi mesaje cadourilor."
"Check this checkbox if you want to add gift messages.","Bifeaza daca vrei sa adaugi mesaje cadourilor."
"To","Catre"
"Yes","Da"
"From","De la"
"Error while saving gift message","Eroare la salvarea mesajului."
"Are you sure?","Esti sigur?"
"Close","Inchide"
"Enter a gift message for each item in your order.","Introdu cate un mesaj pentru fiecare articol de pe comanda."
"Enter a gift message for this address.","Introdu un mesaj pentru aceasta adresa."
"Enter a gift message for entire order.","Introdu un mesaj pentru intreaga comanda."
"Message","Mesaj"
"Gift Message","Mesaj pentru cadouri"
"Your gift message successfully saved","Mesaj salvat."
"Your gift message successfully removed","Mesaj sters."
"Gift Messages","Mesaje pentru cadouri"
"Your gift message has been successfully saved","Mesajul a fost salvat."
"Gift message has been successfully saved","Mesajul a fost salvat."
"Your gift message has been successfully removed","Mesajul a fost sters."
"Edit","Modifica"
"Edit Gift Message","Modifica mesajul"
"Unknown entity type","Naspa. Tip entitate necunoscut."
"No","Nu"
"You can leave a box blank if you don't wish to add a gift message for this address.","Poti lasa gol daca nu vrei sa adaugi un mesaj pentru cadouri pentru aceasta adresa."
"You can leave a box blank if you don't wish to add a gift message for the item.","Poti lasa gol daca nu vrei sa adaugi un mesaj pentru cadouri pentru acest articol."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Poti lasa gol daca nu vrei sa adaugi un mesaj pentru cadouri pentru intreaga comanda."
"Save","Salveaza"
"Save Gift Message","Salveaza mesajul pentru cadou"
"Remove","Sterge"
"Use config","Use config"
"Your gift message successfully saved","Your gift message successfully saved"
