" Copy"," Copie"
"Newsletter subscription success","Abonare la newsletter reusita"
"The subscription was successfully saved","Abonarea a fost salvata cu succes."
"Your subscription was successfully confirmed","Abonarea ta a fost confirmata."
"Subscriber","Abonat"
"Subcribed","Abonat"
"Subscribers","Abonati"
"Newsletter Subscribers","Abonati"
"Subscribers From","Abonati de la"
"Selected problem subscribers successfully unsubscribed","Abonatii cu probleme selectati au fost dezabonati"
"Subscribe","Aboneaza-te"
"Sign up for our newsletter:","Aboneaza-te la newsletter:"
"Action","Actiune"
"Date Updated","Actualizat la data"
"Add to Queue","Adauga la Queue"
"Add New Template","Adauga template nou"
"Date Added","Adaugat la data"
"You have been successfully unsubscribed.","Ai fost dezabonat cu succes."
"Please select subscriber(s)","Alege abonat(i)"
"Cancelled","Anulat"
"Cancel","Anuleaza"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Cannot mark as received subscriber","Cannot mark as received subscriber"
"Confirmation request has been sent","Cererea de confirmare a fost trimisa"
"Customer","Client"
"Invalid subscription confirmation code","Cod de confirmare abonare nevalid"
"Error Code","Cod eroare"
"Duplicate of template code","Cod template duplicat"
"Newsletter subscription confirmation","Confirmarea abonarii la newsletter"
"Template Content","Continut template"
"Create Newsletter Template","Creaza template pt newsletter"
"Queue Date Start","Data de inceput Queue"
"Recipients","Destinatari"
"Newsletter unsubscription success","Dezabonare de la newsletter reusita"
"Unsubcribed","Dezabonat"
"Unsubscribe","Dezaboneaza"
"Unsubscribe Selected","Dezaboneaza pe selectati"
"Sender Email","E-mail expeditor"
"Email","Email"
"There was a problem with the subscription","Eroare. Exista o problema cu abonarea."
"There was an error while saving your subscription","Eroare. Exista o problema cu salvarea abonarii la newsletter."
"Are you sure that you want to delete this template?","Esti sigur ca vrei sa stergi template-ul?"
"There was a problem with the subscription: %s","Exista o problema cu abonarea: %s"
"There was a problem with the un-subscription.","Exista o problema cu dezabonarea."
"Sender","Expeditor"
"Confirmation Email Sender","Expeditor email de confirmare"
"Success Email Sender","Expeditor email succes"
"Unsubscription Email Sender","Expeditor mail dezabonare"
"Queue Finish","Final Queue"
"Form was filled incorrectly","Formular completat gresit"
"Guest","Guest"
"ID","ID"
"Invalid subscription ID","ID abonare nevalid"
"Invalid subscriber ID","ID abonat nevalid"
"Paused","In pauza"
"Back","Inapoi"
"Queue Information","Informatii Queue"
"Template Information","Informatii template"
"Please enter new template name","Introdu numele noului template"
"Enter your email address","Introduceti adresa de email..."
"Thank you for your subscription","Iti multumim pentru abonare"
"Store","Magazin"
"Message","Mesaj"
"Edit Newsletter","Modifica newsletter"
"Edit Queue","Modifica queue"
"Edit Template","Modifica template"
"Edit Newsletter Template","Modifica template newsletter"
"Not activated","Neactivat"
"Need to Confirm","Necesita confirmare"
"Not Sent","Netrimis"
"Newsletter","Newsletter"
"Newsletter Queue","Newsletter Queue"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscriptions","Newsletter Subscriptions"
"No problems found","Nici o problema"
"No subscribers selected","Nici un abonat selectat"
"No Templates Found","Nici un template"
"Cannot save your subscription: %s","Nu s-a putut salva abonarea ta: %s"
"Cannot delete subscriber","Nu se poate sterge abonatul"
"Cannot delete template","Nu se poate sterge template"
"Customer Lastname","Nume client"
"Sender Name","Nume expeditor"
"Template Name","Nume template"
"Subscription Options","Optiuni abonare"
"Pause","Pauza"
"Queue Start","Porneste Queue"
"Customer Firstname","Prenume client"
"Preview Template","Previualizeaza template"
"Newsletter Message Preview","Previzualizare mesaj newsletter"
"Preview","Previzualizeaza"
"Selected problems successfully deleted","Problemele selectate au fost sterse"
"Processed","Procesat"
"Queue Newsletter","Queue Newsletter"
"Invalid queue selected","Queue selectat este nevalid "
"Newsletter Problem Reports","Rapoarte probleme newsletter"
"Reset","Reset"
"Resume","Resume"
"Return Html Version","Return Html Version"
"Save As","Salveaza ca"
"Save Newsletter","Salveaza newsletter"
"Save And Resume","Salveaza si continua"
"Save Template","Salveaza template"
"Toggle Editor","Schimba editor"
"Convert to Plain Text","Schimba in Plain Text"
"Sending","Se trimite"
"Sign me up","Sign me up"
"Do you really want to cancel the queue?","Sigur anulezi lista de queue?"
"Website","Site"
"Start","Start"
"Status","Status"
"Delete Selected Problems","Sterge problemele selectate"
"Delete Template","Sterge Template"
"Subject","Subiect"
"Queue Subject","Subiect Queue"
"Template Subject","Subiect template"
"Confirmation Email Template","Template email de confirmare"
"Success Email Template","Template email succes"
"Unsubscription Email Template","Template mail dezabonare"
"New Template","Template nou"
"New Newsletter Template","Template nou de newsletter"
"Newsletter Templates","Template-uri"
"Error Text","Text eroare"
"Type","Tip"
"Template Type","Tip template"
"Sent","Trimis"
"View Newsletter","Vezi newsletter"
"Store View","Vitrina"
"Your subscription was successfully confirmed","Your subscription was successfully confirmed"
