"%s Item(s)","%s Articol(e)"
"(ver. %s)","(ver. %s)"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Acesta este un magazin demo. Comenzile nu vor fi onorate."
"Help Us to Keep Magento Healthy","Ajutati-ne daca descoperiti erori"
"Select Store","Alege magazinul"
"Show","Arata"
"Items %s to %s of %s total","Articolele de la %s la %s din %s in total"
"Welcome, %s!","Bine ai venit, %s!"
"Copyright","Copyright"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Copyright &copy; %s Hiperstore srl. Toate drepturile rezervate."
"Magento Commerce Demo Store","Createur.ro"
"Default Keywords","Cuvinte cheie standard"
"Default Description","Descriere standard"
"Footer","Footer"
"Header","Header"
"HTML Head","HTML Head"
"Close Window","Inchide fereastra"
"Interface Language","Limba interfetei"
"Your Language","Limba ta"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Skip to Main Content","Mergi la pagina principala"
"Previous Page","Pagina precedenta"
"Next Page","Pagina urmatoare"
"Page:","Pagina:"
"per page","pe pagina"
"per page","per page"
"Report All Bugs","Raporteaza erorile"
"Default Robots","Roboti standard"
"You're currently on:","Sunteti pe :"
"Welcome Text","Text de bun-venit"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Title","Titlu standard"
"Your Language:","Your Language:"
