"Payment Action","Actiune de plata"
"Enabled","Activat"
"Update Shipping Method","Actualizeaza metoda de livrare"
"Your billing address will be ignored and you will be redirected to PayPal website","Adresa de facturare va fi ignorata si vei fi redirectionat spre Paypal."
"Shipping Address","Adresa de livrare"
"Please select a shipping method...","Alege o metoda de livrare..."
"Items in Your Shopping Cart","Articole in cos"
"Qty","Cantitate"
"Business Account","Cont de firma"
"PayPal Account","Cont PayPal"
"Debug Flag","Debug Flag"
"Review Order","Detalii comanda"
"PayPal Email","E-mail PayPal"
"Place an Order","Finalizeaza comanda"
"Shipping Information","Informatii de livrare"
"Billing Information","Informatii facturare"
"Shipping Method","Metoda de livrare"
"Payment Method","Metoda de plata"
"Edit Shopping Cart","Modifica cos de cumparaturi"
"Sorry, no quotes are available for this order at this time.","Ne pare rau, o estimare pentru aceasta comanda este imposibila momentan."
"Business Name","Nume firma"
"Product Name","Nume produs"
"Sort order","Ordine de sortare"
"API Password","Parola API"
"Paypal Logo Image URL(150x150)","Paypal Logo Image URL(150x150)"
"Payment from applicable countries","Plata din tarile la care se aplica"
"Payment from Specific countries","Plata din tarile specificate"
"Price","Pret"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sandbox Flag","Sandbox Flag"
"Change Shipping Address","Schimba adresa de livrare"
"Change Payment Method","Schimba metoda de plata"
"Submitting order information...","Se trimit informatii comanda..."
"API Signature","Semnatura API"
"New order status","Status comanda noua"
"Subtotal","Subtotal"
"Type","Tip"
"Transaction Type","Tip tranzactie"
"Credit Card Types","Tipuri de Credit Card"
"Title","Titlu"
"Use Proxy","Use Proxy"
"API User Name","Utilizator API"
"You will be redirected to paypal in a few seconds.","Vei fi redirectionat catre Paypal in cateva secunde."
"You will be redirected to PayPal website when you place an order.","Vei fi redirectionat spre PayPal cand faci o comanda."
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
"Your billing address will be ignored and you will be redirected to PayPal website","Your billing address will be ignored and you will be redirected to PayPal website"
