"Actions","Actiuni"
"Add New Poll","Adauga chestionar nou"
"Add Answer","Adauga raspuns"
"Add New Answer","Adauga raspuns nou"
"Community Poll","Chestionar"
"Poll with the same question","Chestionar cu aceeasi intrebare"
"New Poll","Chestionar nou"
"Poll not exists","Chestionarul nu exista"
"Date Closed","Data inchiderii"
"Date Posted","Data postarii"
"Open","Deschis"
"ID","ID"
"Closed","Inchis"
"Poll information","Informatii chestionar"
"Poll Information","Informatii chestionar"
"Poll Question","Intrebare chestionar"
"Poll Manager","Manager chestionar"
"Edit Poll '%s'","Modifica chestionar '%s'"
"Edit Answer '%s'","Modifica raspuns '%s'"
"Edit Poll Answer","Modifica raspuns chestionar"
"Unable to find answer to delete.","Nu s-a gasit raspuns."
"Number of Responses","Numar raspunsuri"
"Votes Count","Numar voturi"
"Votes Count:","Numar voturi:"
"Polls","Polls"
"Answer with the same title in this poll","Raspuns cu acelasi titlu in chestionar"
"Invalid Answer","Raspuns nevalid"
"Answer was successfully saved","Raspuns salvat."
"Assigned Answers","Raspunsuri alocate"
"Poll Answers","Raspunsuri chestionar"
"Save Poll","Salveaza chestionar"
"Save Answer","Salveaza raspuns"
"Are you sure you want to delete it?","Sigur vrei sa-l stergi?"
"Status","Status"
"Delete","Sterge"
"Delete Poll","Sterge chestionar"
"Delete Answer","Sterge raspuns"
"Answer Title","Titlu raspuns"
"Answer Title:","Titlu raspuns:"
"Visible In","Vizibil In"
"Vote","Voteaza"
"Votes Count:","Votes Count:"
