"%d Review(s)","%d Parere(i)"
"%s Review(s)","%s Parere(i)"
"(Posted on %s)","(Pus la data %s)"
"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Update status","Actualizeaza status"
"Add Items to Cart","Adauga articolele in cos"
"Add to Cart","Adauga in cos"
"Add to Compare","Adauga la comparatie"
"Add to Wishlist","Adauga la favorite"
"Add New Review","Adauga parere"
"Administrator","Administrator"
"Please select one of each of the ratings above","Alege dintre evaluarile de mai sus"
"Please select a product","Alege un produs"
"Zoom In","Apropie"
"Qty","Cantitate"
"Customer","Client"
"SKU","Cod produs"
"Product SKU","Cod produs"
"Created On","Creat la"
"How do you rate this product?","Cum evaluezi acest produs?"
"Buy %s for %s","Cumpara %s pentru %s fiecare"
"Zoom Out","Departeaza"
"Review Details","Detalii parere"
"Availability: In stock.","Disponibilitate: In stoc."
"Availability: Out of stock.","Disponibilitate: Stoc epuizat."
"Are you sure you want to do this?","Esti sigur ca vrei sa faci acest lucru?"
"Are you sure?","Esti sigur?"
"Detailed Rating","Evaluare detaliata"
"Average Customer Rating","Evaluare medie"
"Average Customer Rating:","Evaluare medie:"
"Product Rating","Evaluare produs"
"Product Rating:","Evaluare produs:"
"Your Rating:","Evaluare ta:"
"Rating:","Evaluare:"
"Be the first to review this product","Fii primul care evalueaza acest produs."
"ID","ID"
"Back","Inapoi"
"Back to Main Product Info","Inapoi la Informatii produs"
"Back to Product Reviews","Inapoi la Pareri produs"
"Back to My Reviews","Inapoi la Parerile mele"
"You're reviewing: %s","Iti spui parerea despre: %s"
"Edit Review '%s'","Modifica parere '%s'"
"You have submitted no reviews.","Nu ai adaugat nici o parere."
"Unable to post review. Please, try again later.","Nu s-a putut adauga parerea. Incearca mai tarziu."
"Nickname","Nume"
"Name","Nume"
"Name In Store","Nume in magazin"
"Product Name","Nume produs"
"OR","OR"
"Review","Parere"
"New Review","Parere noua"
"Review by %s","Parerea lui %s"
"Your Review (submitted on %s):","Parerea ta (din %s):"
"Your review has been accepted for moderation","Parerea ta a fost acceptata pentru moderare."
"Customer Reviews","Pareri clienti"
"Pending Reviews","Pareri in asteptare"
"Product Reviews","Pareri produs"
"My Product Reviews","Parerile mele"
"My Recent Reviews","Parerile mele recente"
"Price","Pret"
"Product","Produs"
"Product Review (submitted on %s):","Produs comentat (pe data %s):"
"Posted By","Pus de"
"Save Review","Salveaza parere"
"Write Your Own Review","Spune parerea ta"
"Add Your Review","Spune-ti parerea"
"Status","Status"
"Delete","Sterge"
"Delete Review","Sterge parere"
"Type","Tip"
"Title","Titlu"
"Summary Rating","Titlu evaluare"
"Summary of Your Review","Titlu parere"
"Summary of Review","Titlu parere"
"Summary of review","Titlul parerii"
"All Reviews","Toate parerile"
"Submit Review","Trimite parere"
"View Details","Vezi detalii"
"View All Reviews","Vezi toate parerile"
"Store Views","Vitrine magazin"
"Visible In","Vizibil In"
"Visible Ins","Vizibilitate In"
"Guest","Vizitator"
"Your review has been accepted for moderation","Your review has been accepted for moderation"
