"%s's Wishlist"," Favoritele lui %s""
Cannot retrieve the wishlist"""
"%s - Discounts and Coupons","%s - Reduceri si cupoane"
"%s - Special Discounts","%s - Reduceri speciale"
"%s has reached a quantity of %s.","%s a atins cantitatea de %s."
"Enable RSS","Activeaza RSS"
"Cannot retrieve the wishlist","Cannot retrieve the wishlist"
"Catalog","Catalog"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">aici</a> pentru a vedea parerea"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> to view the review"
"Order #%s created at %s","Comanda #%s creata la %s"
"Comment: %s<br/>","Comentariu: %s<br/>"
"New Orders","Comenzi noi"
"Purchased From: %s","Cumparat de la: %s"
"Coupons/Discounts","Cupoane/Reduceri"
"Notified Date: %s<br/>","Data notificarii: %s<br/>"
"From:","De la:"
"Details for %s #%s","Detalii pentru %s #%s"
"Error in processing xml. %s","Error in processing xml. %s"
"Wishlist","Favorite"
"To:","La:"
"Store: %s <br/>","Magazin: %s <br/>"
"Gift Message","Mesaj pentru cadouri"
"Message:","Mesaj:"
"Order # %s Notification(s)","Notificare(i) Comanda # %s"
"Customer Order Status Notification","Notificarea starii comenzii clientului"
"There are no %s.","Nu exista %s."
"Customer Name: %s","Nume client: %s"
"Pending product review(s)","Parere(i) produs in asteptare"
"Review: %s <br/>","Parere: %s <br/>"
"Get Feed","Primeste Feed"
"Products tagged with %s","Produs cu tag %s"
"Product: ""%s"" review By: %s","Produs: ""%s"" evaluat de: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produs: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Produse cu stoc limitat"
"New Products","Produse noi"
"New Products from %s","Produse noi de la %s"
"Special Products","Produse speciale"
"Special/Discount Products","Produse speciale/cu pret redus"
"Discount ","Reducere "
"Rss Config","Rss Config"
"RSS Feeds","RSS Feeds"
"Current Status: %s<br/>","Status actual: %s<br/>"
"Subtotal","Subtotal"
"Tags Products","Tag-uri produse"
"Tax","Taxa"
"Summary of review: %s <br/>","Titlu parere: %s <br/>"
"Top Level Category","Top Level Category"
"Grand Total","Total general"
"Total: %s<br/>","Total: %s<br/>"
"Shipping & Handling","Transport si manipulare"
