"Add","Adauga"
"ALL","ALL"
"ANY","ANY"
"Apply","Aplica"
"by","by"
"Description: %s","Descriere: %s"
"Expire at: %s","Expira la: %s"
"FALSE","FALSE"
"If %s of these conditions are %s:","If %s of these conditions are %s:"
"Start at: %s","Incepe la: %s"
"is","is"
"is not","is not"
"Name: %s","Nume: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Perform following actions"
"Please choose a condition to add...","Please choose a condition to add..."
"Please choose an action to add...","Please choose an action to add..."
"Remove","Sterge"
"to","to"
"to","to"
"TRUE","TRUE"
