"Actions","Actiuni"
"Active","Activ"
"Update product's %s %s: %s","Actualizeaza info produs %s %s: %s"
"Update prices using the following information","Actualizeaza preturile folosind urmatoarele informatii"
"Update the Product","Actualizeaza produs"
"Add New Rule","Adauga regula noua"
"Apply","Aplica"
"Apply to","Aplica la"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Cart Attribute","Atribut cos"
"By Percentage of the original price","Ca procent din pretul initial"
"Quantity in cart","Cantitate in cos"
"Total Items Quantity","Cantitate totala articole"
"Catalog","Catalog"
"Checkout Price Rule","Checkout Price Rule"
"Customer registered: %s","Client inregistrat: %s"
"Coupon code","Cod cupon"
"Coupon Code","Cod cupon"
"Shipping Postcode","Cod postal de livrare"
"Product attribute combination","Combinatie atribute produs"
"Conditions Combination","Combinatie conditii"
"Conditions combination","Combinatie conditii"
"Conditions","Conditii"
"Buy X get Y free (discount amount is Y)","Cumpara X si primesti Y gratis (suma redusa e Y)"
"Yes","Da"
"From Date","De la data"
"Start at: %s","De la: %s"
"Description","Descriere"
"Description: %s","Descriere: %s"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"For matching items only","Doar pentru articole identice"
"By Percentage","Dupa procent"
"By Fixed Amount","Dupa suma fixa"
"By Fixed value","Dupa valoare fixa"
"Customer is new buyer: %s","Este client nou: %s"
"Date Expire","Expira la"
"Expire at: %s","Expira la: %s"
"Total Weight","Greutate totala"
"Customer Groups","Grupuri de clienti"
"ID","ID"
"Inactive","Inactiv"
"Date Start","Incepe la"
"General Information","Informatii generale"
"Rule Information","Informatii regula"
"Shipping State/Province","Judetul de livrare"
"To Percentage","La procent"
"To Percentage of the original price","la procent din pretul initial"
"To Fixed Amount","La suma fixa"
"To Fixed Value","La valoare fixa"
"Maximum Qty Discount is Applied to","Maximum Qty Discount is Applied to"
"Shipping Method","Metoda de livrare"
"Payment Method","Metoda de plata"
"Edit Rule","Modifica regula"
"Edit Rule '%s'","Modifica regula '%s'"
"NOT LOGGED IN","ne-logat"
"No","Nu"
"Unable to find a page to delete","Nu s-a gasit pagina"
"Rule Name","Nume regula"
"Name: %s","Nume: %s"
"Stop further rules processing","Opreste procesarea altor reguli"
"The page you are trying to save no longer exists","Pagina nu mai exista"
"For shipment with matching items","Pentru livrare cu articole identice"
"To Date","Pina la data"
"Special price","Pret special"
"Price in cart","Pretul in cos"
"Priority","Prioritate"
"Promotions","Promotii"
"Public In RSS Feed","Public In RSS Feed"
"Percent of product price discount","Reducere ca procent din pretul produsului"
"Fixed amount discount","Reducere in suma fixa"
"Fixed amount discount for whole cart","Reducere in suma fixa pe tot cosul"
"Shipping Region","Regiunea de livrare"
"Shopping Cart Price Rule","Regula de pret pt cos"
"New Rule","Regula noua"
"This rule no longer exists","Regula nu mai exista"
"Rule was successfully saved","Regula salvata."
"Rule was successfully deleted","Regula stearsa."
"Shopping Cart Price Rules","Reguli de pret pt cos"
"Save Rule","Salveaza regula"
"Status","Status"
"Delete Rule","Sterge regula"
"Subtotal","Subtotal"
"Discount amount","Suma reducere"
"Invalid discount amount.","Suma reducere nevalida."
"Shipping Country","Tara de livrare"
"Row total in cart","Total randuri in cos"
"Free shipping","Transport gratuit"
"Uses per customer","Utilizari per client"
"Uses per coupon","Utilizari per cupon"
"Yes","Yes"
