" for more information or email us at "," pentru mai multe informatii trimite e-mail la "
"Allow Shipping to multiple addresses","Accepta livrari la adrese multiple"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Aceasta metoda de livrare este indisponibila. Daca doriti livrarea prin aceasta metoda va rugam sa ne contactati."
"Enabled","Activat"
"Tracking Number:","AWB:"
"Calculate Handling Fee","Calculeaza taxa transport"
"Maximum qty allowed for Shipping to multiple addresses","Cantitate maxima permisa pentru livrare la adrese multiple"
"ZIP/Postal Code","Cod postal"
"Condition","Conditie"
"contact us","Contact"
"contact us","contact us"
"Carrier:","Curier:"
"Date","Data"
"Description","Descriere"
"Error:","Eroare:"
"Export","Exporta"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Fa rand duplicat pentru #%s (Tara ""%s"", Judet ""%s"", Cod postal ""%s"" si Valoare ""%s"")"
"Fixed","Fixa"
"Weight (and above)","Greutate (si peste)"
"Weight vs. Destination","Greutate vs. Destinatie"
"Weight:","Greutate:"
"Import","Importa"
"Close Window","Inchide fereastra"
"Info:","Info:"
"Tracking information is currently unavailable.","Informatiile de urmarire sunt momentan indisponibile."
"Tracking information is currently not available. Please ","Informatiile de urmarire sunt momentan indisponibile. Incercati mai tarziu. "
"Invalid %s ""%s"" in the Row #%s","Invalid %s ""%s"" in the Row #%s"
"Invalid Country ""%s"" in the Row #%s","Invalid Country ""%s"" in the Row #%s"
"Invalid Region/State ""%s"" in the Row #%s","Invalid Region/State ""%s"" in the Row #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Invalid Shipping Price ""%s"" in the Row #%s"
"Invalid Table Rate code for type %s: %s","Invalid Table Rate code for type %s: %s"
"Invalid Table Rate code type: %s","Invalid Table Rate code type: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"Region/State","Judet"
"Shipment #","Livrare nr."
"Delivered to:","Livrat catre:"
"Delivered on:","Livrat pe:"
"Shipped or billed on:","Livrat sau facturat pe:"
"Ship to applicable countries","Livreaza in tarile la care se aplica"
"Ship to Specific countries","Livreaza in tarile specificate"
"Location","Locatie"
"Displayed Error Message","Mesaj eroare afisat"
"Shipping Methods","Metode livrare"
"The shipping module is not available for selected delivery country","Modulul de livrare este indisponibil pentru tara aleasa pentru livrare"
"N/A","N/A"
"None","None"
"# of Items (and above)","Nr. de articole (si peste)"
"# of Items vs. Destination","Nr. de articole vs. destinatie"
"Method name","Nume metoda"
"Options","Optiuni"
"Local Time","Ora locala"
"City","Oras"
"Sort order","Ordinea sortarii"
"Origin","Origine"
"Per Order","Pe comanda"
"Per Package","Pe pachet"
"Price","Pret"
"Price vs. Destination","Pret vs. Destinatie"
"Percent","Procent"
"Store Pickup","Ridicare de la sediu"
"Signed by:","Semnat de:"
"Shipping Settings","Setari livrare"
"Status:","Status:"
"Order Subtotal (and above)","Subtotal comanda (si peste)"
"Table rates","Table rates"
"Country","Tara"
"Flat Rate","Taxa fixa"
"Handling Fee","Taxa transport"
"Type","Tip"
"Service Type:","Tip serviciu:"
"Title","Titlu"
"Free Shipping","Transport gratuit"
"Track:","Urmareste:"
"There is no tracking available for this shipment.","Urmarirea comenzii este indisponibila pentru aceasta livrare."
"There is no tracking available.","Urmarirea comenzii este indisponibila."
"Minimum order amount","Valoare comenzii minime"
"Show method if not applicable","Vezi metoda daca nu se aplica"
